Stimulus,Response,Outcome,tResponse
-0.7552,1,1,1228.63526466667
-1,2,0,1231.385834
-1,1,1,1235.42626633333
1,2,1,1238.29753066667
0,1,0,1240.78213166667
-1,1,1,1244.86407166667
0.7552,2,1,1247.36166566667
0,1,0,1249.795301
0.4415,2,1,1253.72504233333
0.7552,2,1,1257.07613166667
1,2,1,1259.61989966667
0.4415,1,0,1263.292348
0.4415,2,1,1267.81822633333
0,2,1,1270.557832
0.4415,1,0,1273.10831266667
0.4415,1,0,1277.17536266667
0.7552,2,1,1282.643734
0.4415,2,1,1285.215666
0.7552,1,0,1288.08996533333
-1,1,1,1292.271033
0,2,0,1294.822155
-1,1,1,1300.11136033333
0.7552,1,0,1302.44213266667
0.4415,1,0,1306.352533
0.4415,2,1,1310.56579933333
1,2,1,1313.05160966667
-0.7552,2,0,1315.57416133333
0,2,1,1321.40656533333
0.4415,2,1,1324.353365
1,2,1,1326.91246666667
-1,2,0,1329.457233
0,2,1,1335.332765
0.4415,1,0,1337.86742033333
1,2,1,1343.69856766667
0,2,1,1346.77133266667
1,2,1,1349.366798
1,2,1,1351.89939933333
0.4415,2,1,1354.770499
0.4415,2,1,1357.947268
0.7552,2,1,1361.02836833333
-1,2,0,1363.79647533333
-0.4415,2,0,1367.68205333333
0,1,1,1372.13729766667
-1,1,1,1374.550249
-0.4415,1,1,1377.06799633333
0.7552,1,0,1379.59246766667
1,2,1,1385.15187533333
1,2,1,1387.62296033333
0.4415,2,1,1390.309899
1,2,1,1393.36000966667
0.7552,2,1,1395.99693333333
0.4415,2,1,1398.561065
1,2,1,1401.02900533333
1,2,1,1404.175912
1,2,1,1406.96335466667
0,2,1,1409.77232466667
1,2,1,1412.75892933333
0,2,1,1415.51903266667
0.4415,2,1,1418.19613133333
0.7552,2,1,1420.775098
0,2,1,1423.46433133333
0.7552,2,1,1426.10096466667
-0.4415,1,1,1428.85203233333
1,1,0,1431.941345
-0.4415,2,0,1436.28743866667
0.4415,2,1,1441.12696133333
0.7552,2,1,1443.70506866667
1,2,1,1446.38066433333
-0.4415,2,0,1449.047297
0.4415,2,1,1454.08133433333
0.4415,2,1,1456.52378533333
0,2,0,1459.20625433333
0.7552,2,1,1463.23163066667
-0.4415,1,1,1465.79426566667
1,2,1,1468.691197
-0.4415,1,1,1471.34846533333
-0.7552,1,1,1474.287257
1,2,1,1477.13853233333
1,1,0,1479.63429966667
0.7552,2,1,1485.59733266667
-0.4415,1,1,1487.99959966667
0.4415,2,1,1490.93456433333
0.7552,1,0,1493.617679
-0.7552,1,1,1498.220405
0.4415,2,1,1500.884499
1,1,0,1504.25610033333
-1,1,1,1508.36249966667
0.4415,2,1,1510.90713933333
-1,1,1,1513.18839933333
-0.7552,2,0,1515.93050066667
