x1,x2,xavg,estim,subj
-10,0,-5,-17.3323,1
20,20,20,9.79073,1
-20,0,-10,-13.2657,1
-20,0,-10,-8.23444000000001,1
-10,0,-5,-9.0609,1
20,20,20,10.39293,1
20,20,20,6.53462,1
-10,20,5,10.5508,1
0,10,5,6.73689999999999,1
-20,-10,-15,-4.97692,1
10,-10,0,6.76820000000001,1
-20,-20,-20,-5.09644,1
0,20,10,-14.3254,1
20,20,20,8.2026,1
-10,0,-5,9.58913,1
20,-10,5,-18.6027,1
-20,10,-5,7.61548000000001,1
0,0,0,-7.4316,1
-20,10,-5,-10.20183,1
10,20,15,4.62810000000002,1
20,10,15,-9.02826,1
0,20,10,11.27935,1
-20,-20,-20,5.36750000000001,1
-10,0,-5,-10.02164,1
-20,-10,-15,-14.2633,1
10,-10,0,-10.80526,1
0,0,0,-4,1
-10,-10,-10,-6.47816,1
-10,-10,-10,-7.3154,1
0,0,0,-7.30262999999999,1
-10,20,5,-8.1888,1
10,20,15,-5.61991999999999,1
10,-20,-5,-12.19089,1
-10,0,-5,-6.87960000000001,1
0,-10,-5,-8.41820000000001,1
-20,-20,-20,-10.25384,1
-20,10,-5,6.1259,1
0,-20,-10,-9.664,1
-10,10,0,5.86055,1
10,10,10,-5.4393,1
-10,-20,-15,-7.754374,1
0,-20,-10,-14.866,1
20,0,10,-9.8963,1
10,10,10,-5.33665999999999,1
-20,-10,-15,-6.99491,1
-10,-20,-15,-8.60550000000001,1
10,-20,-5,-5.317284,1
-20,0,-10,-7.58529999999999,1
20,0,10,5.7655,1
-10,20,5,-8.0031,1
-10,10,0,-3.97613,1
0,20,10,-7.92270000000001,1
-10,-10,-10,-7.79477,1
0,20,10,5.92959999999999,1
10,0,5,-6.14955999999999,1
-20,-20,-20,-8.43368,1
0,-10,-5,7.7286,1
20,10,15,5.42559,1
-20,-10,-15,-7.92751,1
20,-10,5,-3.33222,1
-10,-10,-10,-11.7381,1
10,20,15,-8.3982,1
0,-20,-10,-4.593621,1
0,10,5,-9.01752,1
20,10,15,-5.56914,1
0,10,5,4.89082000000001,1
0,-10,-5,3.74467,1
-20,10,-5,-8.0711,1
-20,-20,-20,-6.46727,1
10,-20,-5,-10.3168,1
20,20,20,3.2227,1
-10,20,5,-8.7792,1
20,10,15,4.57239999999999,1
10,0,5,-9.7996,1
0,20,10,-10.4993,1
10,0,5,-16.8351,1
0,10,5,9.76560000000001,1
20,0,10,11.2538,1
20,10,15,8.97210000000001,1
20,0,10,-11.0704,1
-10,10,0,5.90614,1
0,-10,-5,-8.8704,1
-10,10,0,5.22877,1
0,-20,-10,4.27369999999999,1
-20,-10,-15,-6.991831,1
-10,10,0,-3.59464,1
10,10,10,8.4333,1
-10,-20,-15,-12.1706,1
-20,0,-10,-4.46534,1
0,-10,-5,-11.7623,1
20,0,10,7.36136999999999,1
0,0,0,-9.3078,1
20,-10,5,5.34989999999999,1
20,-10,5,8.45084,1
10,-10,0,-8.24375000000001,1
-10,-10,-10,-13.3837,1
-10,20,5,5.33959999999999,1
10,-20,-5,6.39769999999999,1
10,0,5,-2.45507000000001,1
10,-10,0,-5.3896,1
10,-10,0,-5.08938,1
-20,0,-10,-12.9727,1
-20,10,-5,-15.144,1
-10,-20,-15,-6.80680000000001,1
0,-20,-10,-7.24136,1
10,10,10,7.3528,1
10,20,15,12.33216,1
10,-20,-5,8.36930000000001,1
0,0,0,-0.0735700000000037,1
20,-10,5,-4.99963,1
-10,-20,-15,-6.6075,1
-20,-10,-15,-16.4067,1
0,20,10,6.00417,1
0,-20,-10,-8.85562,1
-20,0,-10,-8.49942,1
20,-10,5,-10.9653,1
20,10,15,2.63,1
10,20,15,-9.57807,1
0,-20,-10,-9.55997,1
