x1,binchoice,x2,xavg,estim,subj
53.875,1,50.625,52.25,43,5
54,1,60.75,57.375,50,5
45.5,-1,58.25,51.875,57,5
53.875,1,59.625,56.75,63,5
51.75,-1,48.25,50,50,5
48.25,-1,60.5,54.375,54,5
50.375,1,48,49.1875,45,5
44.875,1,54,49.4375,58,5
52.125,1,54,53.0625,48,5
54.375,1,52,53.1875,59,5
48.125,-1,57.25,52.6875,57,5
55,1,61.125,58.0625,57,5
47.375,1,61.875,54.625,58,5
46.625,-1,61.625,54.125,53,5
46.125,1,46.25,46.1875,52,5
45.875,-1,46,45.9375,44,5
44.875,-1,60.875,52.875,55,5
54.375,1,52.5,53.4375,55,5
46.125,1,58.625,52.375,58,5
51.125,-1,45.625,48.375,44,5
44.25,-1,45.875,45.0625,48,5
50.5,-1,62.25,56.375,44,5
51.75,-1,60.5,56.125,41,5
55.25,1,55.375,55.3125,57,5
48.75,1,44.375,46.5625,52,6
48.375,1,47.875,48.125,58,6
45.375,-1,41.625,43.5,44,6
47.5,-1,38.625,43.0625,61,6
47.75,1,57.5,52.625,59,6
46.625,1,38.375,42.5,44,6
52.25,1,39.25,45.75,48,6
54.75,1,47.25,51,57,6
53.25,-1,58.75,56,51,6
44.25,1,48.25,46.25,65,6
53.375,1,42,47.6875,57,6
54.625,1,58,56.3125,61,6
51.125,1,54.625,52.875,51,6
47.25,-1,54,50.625,50,6
51.25,1,58.875,55.0625,58,6
45.5,1,59.25,52.375,52,6
51.75,-1,45.5,48.625,48,6
53.75,1,53.125,53.4375,49,6
46.375,1,46.875,46.625,51,6
55.25,1,55.625,55.4375,63,6
47.5,1,51.375,49.4375,53,6
51.125,-1,57.625,54.375,51,6
53.625,1,46.625,50.125,47,6
55.375,1,47.125,51.25,60,6
47.25,1,44.75,46,53,6
52.875,1,62.5,57.6875,52,6
45.5,1,40.5,43,45,6
44.375,1,37.625,41,47,6
54.125,1,53.5,53.8125,58,6
46.875,-1,61.5,54.1875,54,6
48.625,1,38.125,43.375,49,6
48,1,52.25,50.125,51,6
54.375,-1,54.375,54.375,49,6
47.625,1,59.375,53.5,49,6
51.75,-1,55,53.375,49,6
44.625,-1,46.125,45.375,48,6
46,1,60.625,53.3125,56,6
54.25,1,53.75,54,54,6
54.625,-1,50.875,52.75,47,6
50.75,1,48.25,49.5,53,6
47.25,1,59.125,53.1875,49,6
45.25,1,46.875,46.0625,58,6
45.5,-1,57.125,51.3125,51,6
51.25,1,58.125,54.6875,53,6
45.75,1,50.375,48.0625,57,6
54,1,39.5,46.75,50,6
54.125,1,51.25,52.6875,56,6
46.125,-1,59.75,52.9375,58,6
52.125,1,55.25,53.6875,52,6
48.125,-1,57.125,52.625,55,6
55,1,41.25,48.125,54,6
48.375,1,45,46.6875,51,6
44.375,1,50.125,47.25,49,6
48.25,1,44.625,46.4375,54,6
47.25,-1,59.875,53.5625,50,6
47.25,1,46.375,46.8125,49,6
46.625,1,45.25,45.9375,47,6
47.875,1,47.625,47.75,49,6
46.625,1,44.125,45.375,51,6
53.875,-1,50.625,52.25,38,6
54,1,60.75,57.375,59,6
45.5,-1,58.25,51.875,60,6
53.875,-1,59.625,56.75,53,6
51.75,-1,48.25,50,48,6
48.25,-1,60.5,54.375,54,6
50.375,1,48,49.1875,48,6
44.875,-1,54,49.4375,51,6
52.125,1,54,53.0625,48,6
54.375,1,52,53.1875,43,6
48.125,1,57.25,52.6875,53,6
55,1,61.125,58.0625,64,6
47.375,1,61.875,54.625,55,6
46.625,-1,61.625,54.125,48,6
46.125,-1,46.25,46.1875,51,6
45.875,-1,46,45.9375,50,6
44.875,-1,60.875,52.875,56,6
54.375,-1,52.5,53.4375,59,6
46.125,1,58.625,52.375,57,6
51.125,-1,45.625,48.375,42,6
44.25,-1,45.875,45.0625,51,6
50.5,1,62.25,56.375,60,6
51.75,1,60.5,56.125,54,6
55.25,1,55.375,55.3125,51,6
48.75,1,44.375,46.5625,70,7
48.375,-1,47.875,48.125,56,7
45.375,1,41.625,43.5,60,7
47.5,-1,38.625,43.0625,43,7
47.75,1,57.5,52.625,66,7
46.625,-1,38.375,42.5,41,7
47.25,-1,41.375,44.3125,49,7
52.25,1,39.25,45.75,54,7
54.75,1,47.25,51,50,7
53.25,1,58.75,56,61,7
44.25,-1,48.25,46.25,33,7
53.375,1,42,47.6875,59,7
54.625,1,58,56.3125,59,7
51.125,-1,54.625,52.875,46,7
47.25,-1,54,50.625,53,7
51.25,1,58.875,55.0625,54,7
45.5,-1,59.25,52.375,50,7
51.75,-1,45.5,48.625,41,7
53.75,1,53.125,53.4375,55,7
46.375,-1,46.875,46.625,49,7
55.25,1,55.625,55.4375,58,7
47.5,1,51.375,49.4375,60,7
51.125,-1,57.625,54.375,50,7
53.625,1,46.625,50.125,61,7
55.375,1,47.125,51.25,52,7
47.25,1,44.75,46,44,7
52.875,1,62.5,57.6875,66,7
45.5,-1,40.5,43,48,7
44.375,-1,37.625,41,39,7
54.125,1,53.5,53.8125,51,7
46.875,-1,61.5,54.1875,44,7
48.625,-1,38.125,43.375,42,7
48,1,52.25,50.125,56,7
54.375,1,54.375,54.375,56,7
47.625,1,59.375,53.5,57,7
51.75,-1,55,53.375,42,7
44.625,-1,46.125,45.375,43,7
46,1,60.625,53.3125,55,7
54.25,1,53.75,54,55,7
54.625,1,50.875,52.75,63,7
50.75,-1,48.25,49.5,52,7
47.25,-1,59.125,53.1875,59,7
45.25,-1,46.875,46.0625,48,7
45.5,1,57.125,51.3125,48,7
51.25,1,58.125,54.6875,44,7
45.75,1,50.375,48.0625,45,7
54,-1,39.5,46.75,36,7
54.125,1,51.25,52.6875,64,7
46.125,1,59.75,52.9375,53,7
52.125,1,55.25,53.6875,59,7
48.125,1,57.125,52.625,53,7
55,1,41.25,48.125,46,7
48.375,1,45,46.6875,62,7
44.375,1,50.125,47.25,58,7
48.25,-1,44.625,46.4375,40,7
47.25,-1,59.875,53.5625,39,7
47.25,1,46.375,46.8125,48,7
46.625,-1,45.25,45.9375,41,7
47.875,-1,47.625,47.75,53,7
46.625,1,44.125,45.375,57,7
53.875,1,50.625,52.25,54,7
54,1,60.75,57.375,60,7
45.5,-1,58.25,51.875,38,7
53.875,1,59.625,56.75,56,7
51.75,1,48.25,50,44,7
48.25,-1,60.5,54.375,48,7
50.375,1,48,49.1875,63,7
44.875,-1,54,49.4375,44,7
52.125,1,54,53.0625,54,7
54.375,1,52,53.1875,49,7
48.125,1,57.25,52.6875,53,7
55,-1,61.125,58.0625,47,7
47.375,-1,61.875,54.625,60,7
46.625,-1,61.625,54.125,51,7
46.125,-1,46.25,46.1875,46,7
45.875,-1,46,45.9375,44,7
44.875,-1,60.875,52.875,43,7
54.375,1,52.5,53.4375,58,7
46.125,1,58.625,52.375,60,7
51.125,-1,45.625,48.375,50,7
44.25,1,45.875,45.0625,51,7
50.5,1,62.25,56.375,45,7
51.75,1,60.5,56.125,60,7
55.25,1,55.375,55.3125,51,7
48.75,-1,44.375,46.5625,36,8
48.375,1,47.875,48.125,45,8
45.375,-1,41.625,43.5,35,8
47.5,-1,38.625,43.0625,50,8
47.75,1,57.5,52.625,56,8
46.625,-1,38.375,42.5,33,8
47.25,-1,41.375,44.3125,40,8
52.25,1,39.25,45.75,55,8
54.75,1,47.25,51,47,8
53.25,-1,58.75,56,52,8
44.25,-1,48.25,46.25,43,8
53.375,-1,42,47.6875,32,8
54.625,1,58,56.3125,61,8
51.125,-1,54.625,52.875,35,8
47.25,-1,54,50.625,37,8
51.25,-1,58.875,55.0625,42,8
45.5,-1,59.25,52.375,57,8
51.75,-1,45.5,48.625,33,8
53.75,1,53.125,53.4375,45,8
46.375,1,46.875,46.625,41,8
47.5,-1,51.375,49.4375,45,8
51.125,-1,57.625,54.375,55,8
53.625,1,46.625,50.125,55,8
55.375,-1,47.125,51.25,49,8
47.25,1,44.75,46,58,8
52.875,1,62.5,57.6875,60,8
45.5,-1,40.5,43,35,8
44.375,-1,37.625,41,34,8
54.125,-1,53.5,53.8125,50,8
46.875,-1,61.5,54.1875,46,8
48.625,-1,38.125,43.375,38,8
48,-1,52.25,50.125,49,8
54.375,1,54.375,54.375,53,8
47.625,-1,59.375,53.5,54,8
51.75,-1,55,53.375,40,8
44.625,-1,46.125,45.375,36,8
46,-1,60.625,53.3125,40,8
54.25,-1,53.75,54,43,8
54.625,1,50.875,52.75,42,8
50.75,1,48.25,49.5,44,8
47.25,-1,59.125,53.1875,58,8
45.25,-1,46.875,46.0625,41,8
45.5,-1,57.125,51.3125,52,8
51.25,-1,58.125,54.6875,47,8
45.75,1,50.375,48.0625,56,8
54,-1,39.5,46.75,40,8
54.125,1,51.25,52.6875,47,8
46.125,-1,59.75,52.9375,55,8
